phrase,id,position,corresponding_text
CHAPTER I,0,0,"CHAPTER I.
"
Down the Rabbit-Hole,1,11,"Down the Rabbit-Hole

"
Alice was beginning to get very tired of sitting by her sister on the bank,2,33,"Alice was beginning to get very tired of sitting by her sister on the bank,"
and of having nothing to do: once or twice she had peeped into the book her sister was reading,3,108," and of having nothing to do: once or twice she had peeped into the book her sister was reading,"
but it had no pictures or conversations in it,4,204," but it had no pictures or conversations in it,"
“and what is the use of a book,5,251," “and what is the use of a book,"
” thought Alice “without pictures or conversations?”,6,283,"” thought Alice “without pictures or conversations?”

"
So she was considering in her own mind,7,337,So she was considering in her own mind (
as well as she could,8,377,"as well as she could,"
for the hot day made her feel very sleepy and stupid,9,398," for the hot day made her feel very sleepy and stupid),"
whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies,10,453," whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies,"
when suddenly a White Rabbit with pink eyes ran close by her,11,564," when suddenly a White Rabbit with pink eyes ran close by her.

"
There was nothing so very remarkable in that,12,628,There was nothing so very remarkable in that;
nor did Alice think it so very much out of the way to hear the Rabbit say to itself,13,673," nor did Alice think it so very much out of the way to hear the Rabbit say to itself,"
“Oh dear! Oh dear! I shall be late!”,14,758, “Oh dear! Oh dear! I shall be late!” (
when she thought it over afterwards,15,797,"when she thought it over afterwards,"
it occurred to her that she ought to have wondered at this,16,833," it occurred to her that she ought to have wondered at this,"
but at the time it all seemed quite natural,17,893, but at the time it all seemed quite natural);
but when the Rabbit actually took a watch out of its waistcoat-pocket,18,939," but when the Rabbit actually took a watch out of its waistcoat-pocket,"
and looked at it,19,1010," and looked at it,"
and then hurried on,20,1028," and then hurried on,"
Alice started to her feet,21,1049," Alice started to her feet,"
for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket,22,1076," for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket,"
or a watch to take out of it,23,1179," or a watch to take out of it,"
and burning with curiosity,24,1209," and burning with curiosity,"
she ran across the field after it,25,1237," she ran across the field after it,"
and fortunately was just in time to see it pop down a large rabbit-hole under the hedge,26,1272," and fortunately was just in time to see it pop down a large rabbit-hole under the hedge.

"
In another moment down went Alice after it,27,1363,"In another moment down went Alice after it,"
never once considering how in the world she was to get out again,28,1406," never once considering how in the world she was to get out again.

"
The rabbit-hole went straight on like a tunnel for some way,29,1474,"The rabbit-hole went straight on like a tunnel for some way,"
and then dipped suddenly down,30,1534," and then dipped suddenly down,"
so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well,31,1565," so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well.

"
Either the well was very deep,32,1695,"Either the well was very deep,"
or she fell very slowly,33,1725," or she fell very slowly,"
for she had plenty of time as she went down to look about her and to wonder what was going to happen next,34,1750, for she had plenty of time as she went down to look about her and to wonder what was going to happen next.
First,35,1857," First,"
she tried to look down and make out what she was coming to,36,1864," she tried to look down and make out what she was coming to,"
but it was too dark to see anything,37,1924, but it was too dark to see anything;
then she looked at the sides of the well,38,1961," then she looked at the sides of the well,"
and noticed that they were filled with cupboards and book-shelves,39,2003, and noticed that they were filled with cupboards and book-shelves;
here and there she saw maps and pictures hung upon pegs,40,2070, here and there she saw maps and pictures hung upon pegs.
She took down a jar from one of the shelves as she passed,41,2127, She took down a jar from one of the shelves as she passed;
it was labelled “ORANGE MARMALADE”,42,2186," it was labelled “ORANGE MARMALADE”,"
but to her great disappointment it was empty: she did not like to drop the jar for fear of killing somebody underneath,43,2222," but to her great disappointment it was empty: she did not like to drop the jar for fear of killing somebody underneath,"
so managed to put it into one of the cupboards as she fell past it,44,2342," so managed to put it into one of the cupboards as she fell past it.

"
“Well!” thought Alice to herself,45,2412,"“Well!” thought Alice to herself,"
“after such a fall as this,46,2445," “after such a fall as this,"
I shall think nothing of tumbling down stairs! How brave they’ll all think me at home! Why,47,2473," I shall think nothing of tumbling down stairs! How brave they’ll all think me at home! Why,"
I wouldn’t say anything about it,48,2565," I wouldn’t say anything about it,"
even if I fell off the top of the house!”,49,2599, even if I fell off the top of the house!” (
Which was very likely true,50,2643,"Which was very likely true.)

"
Down,51,2673,"Down,"
down,52,2678," down,"
down,53,2684, down.
Would the fall never come to an end? “I wonder how many miles I’ve fallen by this time?” she said aloud,54,2690, Would the fall never come to an end? “I wonder how many miles I’ve fallen by this time?” she said aloud.
“I must be getting somewhere near the centre of the earth,55,2795, “I must be getting somewhere near the centre of the earth.
Let me see: that would be four thousand miles down,56,2854," Let me see: that would be four thousand miles down,"
I think—”,57,2906, I think—” (
for,58,2918,"for,"
you see,59,2922," you see,"
Alice had learnt several things of this sort in her lessons in the schoolroom,60,2931," Alice had learnt several things of this sort in her lessons in the schoolroom,"
and though this was not a very good opportunity for showing off her knowledge,61,3010," and though this was not a very good opportunity for showing off her knowledge,"
as there was no one to listen to her,62,3089," as there was no one to listen to her,"
still it was good practice to say it over,63,3127, still it was good practice to say it over)
“—yes,64,3170," “—yes,"
that’s about the right distance—but then I wonder what Latitude or Longitude I’ve got to?”,65,3177, that’s about the right distance—but then I wonder what Latitude or Longitude I’ve got to?” (
Alice had no idea what Latitude was,66,3270,"Alice had no idea what Latitude was,"
or Longitude either,67,3306," or Longitude either,"
but thought they were nice grand words to say,68,3327," but thought they were nice grand words to say.)

"
Presently she began again,69,3377,Presently she began again.
“I wonder if I shall fall right through the earth! How funny it’ll seem to come out among the people that walk with their heads downward! The Antipathies,70,3403," “I wonder if I shall fall right through the earth! How funny it’ll seem to come out among the people that walk with their heads downward! The Antipathies,"
I think—”,71,3558, I think—” (
she was rather glad there was no one listening,72,3570,"she was rather glad there was no one listening,"
this time,73,3617," this time,"
as it didn’t sound at all the right word,74,3628, as it didn’t sound at all the right word)
“—but I shall have to ask them what the name of the country is,75,3670," “—but I shall have to ask them what the name of the country is,"
you know,76,3734, you know.
Please,77,3744," Please,"
Ma’am,78,3752," Ma’am,"
is this New Zealand or Australia?”,79,3759, is this New Zealand or Australia?” (
and she tried to curtsey as she spoke—fancy curtseying as you’re falling through the air! Do you think you could manage it?,80,3796,and she tried to curtsey as she spoke—fancy curtseying as you’re falling through the air! Do you think you could manage it?)
“And what an ignorant little girl she’ll think me for asking! No,81,3920," “And what an ignorant little girl she’ll think me for asking! No,"
it’ll never do to ask: perhaps I shall see it written up somewhere,82,3986," it’ll never do to ask: perhaps I shall see it written up somewhere.”

"
Down,83,4057,"Down,"
down,84,4062," down,"
down,85,4068, down.
There was nothing else to do,86,4074," There was nothing else to do,"
so Alice soon began talking again,87,4104, so Alice soon began talking again.
“Dinah’ll miss me very much to-night,88,4139," “Dinah’ll miss me very much to-night,"
I should think!”,89,4177, I should think!” (
Dinah was the cat,90,4196,Dinah was the cat.)
“I hope they’ll remember her saucer of milk at tea-time,91,4215, “I hope they’ll remember her saucer of milk at tea-time.
