phrase,id,position,corresponding_text
CHAPTER I,0,0,"CHAPTER I.
"
Down the Rabbit-Hole,1,11,"Down the Rabbit-Hole
"
{alice_and_sister},2,32,"{alice_and_sister}
"
Alice was beginning to get very tired of sitting by her sister on the bank,3,51,"Alice was beginning to get very tired of sitting by her sister on the bank,"
and of having nothing to do: once or twice she had peeped into the book her sister was reading,4,126," and of having nothing to do: once or twice she had peeped into the book her sister was reading,"
but it had no pictures or conversations in it,5,222," but it had no pictures or conversations in it,"
“and what is the use of a book,6,269," “and what is the use of a book,"
” thought Alice “without pictures or conversations?”,7,301,"” thought Alice “without pictures or conversations?”

"
So she was considering in her own mind,8,355,So she was considering in her own mind (
as well as she could,9,395,"as well as she could,"
for the hot day made her feel very sleepy and stupid,10,416," for the hot day made her feel very sleepy and stupid),"
whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies,11,471," whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies,"
when suddenly a White Rabbit with pink eyes ran close by her,12,582," when suddenly a White Rabbit with pink eyes ran close by her.

"
There was nothing so very remarkable in that,13,646,There was nothing so very remarkable in that;
nor did Alice think it so very much out of the way to hear the Rabbit say to itself,14,691," nor did Alice think it so very much out of the way to hear the Rabbit say to itself,"
“Oh dear! Oh dear! I shall be late!”,15,776, “Oh dear! Oh dear! I shall be late!” (
when she thought it over afterwards,16,815,"when she thought it over afterwards,"
it occurred to her that she ought to have wondered at this,17,851," it occurred to her that she ought to have wondered at this,"
but at the time it all seemed quite natural,18,911, but at the time it all seemed quite natural);
but when the Rabbit actually took a watch out of its waistcoat-pocket,19,957," but when the Rabbit actually took a watch out of its waistcoat-pocket,"
and looked at it,20,1028," and looked at it,"
and then hurried on,21,1046," and then hurried on,"
Alice started to her feet,22,1067," Alice started to her feet,"
for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket,23,1094," for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket,"
or a watch to take out of it,24,1197," or a watch to take out of it,"
and burning with curiosity,25,1227," and burning with curiosity,"
she ran across the field after it,26,1255," she ran across the field after it,"
and fortunately was just in time to see it pop down a large rabbit-hole under the hedge,27,1290," and fortunately was just in time to see it pop down a large rabbit-hole under the hedge.

"
In another moment down went Alice after it,28,1381,"In another moment down went Alice after it,"
never once considering how in the world she was to get out again,29,1424," never once considering how in the world she was to get out again.

"
The rabbit-hole went straight on like a tunnel for some way,30,1492,"The rabbit-hole went straight on like a tunnel for some way,"
and then dipped suddenly down,31,1552," and then dipped suddenly down,"
so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well,32,1583," so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well.

"
Either the well was very deep,33,1713,"Either the well was very deep,"
or she fell very slowly,34,1743," or she fell very slowly,"
for she had plenty of time as she went down to look about her and to wonder what was going to happen next,35,1768, for she had plenty of time as she went down to look about her and to wonder what was going to happen next.
First,36,1875," First,"
she tried to look down and make out what she was coming to,37,1882," she tried to look down and make out what she was coming to,"
but it was too dark to see anything,38,1942, but it was too dark to see anything;
then she looked at the sides of the well,39,1979," then she looked at the sides of the well,"
and noticed that they were filled with cupboards and book-shelves,40,2021, and noticed that they were filled with cupboards and book-shelves;
here and there she saw maps and pictures hung upon pegs,41,2088, here and there she saw maps and pictures hung upon pegs.
She took down a jar from one of the shelves as she passed,42,2145, She took down a jar from one of the shelves as she passed;
it was labelled “ORANGE MARMALADE”,43,2204," it was labelled “ORANGE MARMALADE”,"
but to her great disappointment it was empty: she did not like to drop the jar for fear of killing somebody underneath,44,2240," but to her great disappointment it was empty: she did not like to drop the jar for fear of killing somebody underneath,"
so managed to put it into one of the cupboards as she fell past it,45,2360," so managed to put it into one of the cupboards as she fell past it.

"
“Well!” thought Alice to herself,46,2430,"“Well!” thought Alice to herself,"
“after such a fall as this,47,2463," “after such a fall as this,"
I shall think nothing of tumbling down stairs! How brave they’ll all think me at home! Why,48,2491," I shall think nothing of tumbling down stairs! How brave they’ll all think me at home! Why,"
I wouldn’t say anything about it,49,2583," I wouldn’t say anything about it,"
even if I fell off the top of the house!”,50,2617, even if I fell off the top of the house!” (
Which was very likely true,51,2661,"Which was very likely true.)

"
Down,52,2691,"Down,"
down,53,2696," down,"
down,54,2702, down.
Would the fall never come to an end? “I wonder how many miles I’ve fallen by this time?” she said aloud,55,2708, Would the fall never come to an end? “I wonder how many miles I’ve fallen by this time?” she said aloud.
“I must be getting somewhere near the centre of the earth,56,2813, “I must be getting somewhere near the centre of the earth.
Let me see: that would be four thousand miles down,57,2872," Let me see: that would be four thousand miles down,"
I think—”,58,2924, I think—” (
for,59,2936,"for,"
you see,60,2940," you see,"
Alice had learnt several things of this sort in her lessons in the schoolroom,61,2949," Alice had learnt several things of this sort in her lessons in the schoolroom,"
and though this was not a very good opportunity for showing off her knowledge,62,3028," and though this was not a very good opportunity for showing off her knowledge,"
as there was no one to listen to her,63,3107," as there was no one to listen to her,"
still it was good practice to say it over,64,3145, still it was good practice to say it over)
“—yes,65,3188," “—yes,"
that’s about the right distance—but then I wonder what Latitude or Longitude I’ve got to?”,66,3195, that’s about the right distance—but then I wonder what Latitude or Longitude I’ve got to?” (
Alice had no idea what Latitude was,67,3288,"Alice had no idea what Latitude was,"
or Longitude either,68,3324," or Longitude either,"
but thought they were nice grand words to say,69,3345," but thought they were nice grand words to say.)

"
Presently she began again,70,3395,Presently she began again.
“I wonder if I shall fall right through the earth! How funny it’ll seem to come out among the people that walk with their heads downward! The Antipathies,71,3421," “I wonder if I shall fall right through the earth! How funny it’ll seem to come out among the people that walk with their heads downward! The Antipathies,"
I think—”,72,3576, I think—” (
she was rather glad there was no one listening,73,3588,"she was rather glad there was no one listening,"
this time,74,3635," this time,"
as it didn’t sound at all the right word,75,3646, as it didn’t sound at all the right word)
“—but I shall have to ask them what the name of the country is,76,3688," “—but I shall have to ask them what the name of the country is,"
you know,77,3752, you know.
Please,78,3762," Please,"
Ma’am,79,3770," Ma’am,"
is this New Zealand or Australia?”,80,3777, is this New Zealand or Australia?” (
and she tried to curtsey as she spoke—fancy curtseying as you’re falling through the air! Do you think you could manage it?,81,3814,and she tried to curtsey as she spoke—fancy curtseying as you’re falling through the air! Do you think you could manage it?)
“And what an ignorant little girl she’ll think me for asking! No,82,3938," “And what an ignorant little girl she’ll think me for asking! No,"
it’ll never do to ask: perhaps I shall see it written up somewhere,83,4004," it’ll never do to ask: perhaps I shall see it written up somewhere.”

"
Down,84,4075,"Down,"
down,85,4080," down,"
down,86,4086, down.
There was nothing else to do,87,4092," There was nothing else to do,"
so Alice soon began talking again,88,4122, so Alice soon began talking again.
“Dinah’ll miss me very much to-night,89,4157," “Dinah’ll miss me very much to-night,"
I should think!”,90,4195, I should think!” (
Dinah was the cat,91,4214,Dinah was the cat.)
