phrase,id,position,corresponding_text
Logique mathématique,0,0,"Logique mathématique


"
La logique mathématique ou métamathématique est une discipline des mathématiques inventée à la fin du XIXe siècle,1,23,"La logique mathématique ou métamathématique est une discipline des mathématiques inventée à la fin du XIXe siècle,"
qui s'est donné comme objet l'étude des mathématiques en tant que langage,2,137," qui s'est donné comme objet l'étude des mathématiques en tant que langage.

"
Les objets fondamentaux de la logique mathématique sont les formules représentant les énoncés mathématiques,3,214,"Les objets fondamentaux de la logique mathématique sont les formules représentant les énoncés mathématiques,"
les dérivations ou démonstrations formelles représentant les raisonnements mathématiques et les sémantiques ou modèles ou interprétations dans des structures qui donnent un « sens » mathématique générique aux formules,4,322, les dérivations ou démonstrations formelles représentant les raisonnements mathématiques et les sémantiques ou modèles ou interprétations dans des structures qui donnent un « sens » mathématique générique aux formules (
et parfois même aux démonstrations,5,542,et parfois même aux démonstrations)
comme certains invariants : par exemple l'interprétation des formules du calcul des prédicats permet de leur affecter une valeur de vérité,6,577," comme certains invariants : par exemple l'interprétation des formules du calcul des prédicats permet de leur affecter une valeur de vérité.
"
Histoire de la logique mathématique,7,718,"Histoire de la logique mathématique
"
Article détaillé : Histoire de la logique,8,754,"Article détaillé : Histoire de la logique.
"
Naissance de la logique mathématique et logicisme,9,797,"Naissance de la logique mathématique et logicisme
"
Article connexe : Logicisme,10,847,"Article connexe : Logicisme.

"
La logique mathématique[2] est née à la fin du XIXe siècle de la logique au sens philosophique du terme,11,877,La logique mathématique[2] est née à la fin du XIXe siècle de la logique au sens philosophique du terme ;
elle est l'une des pistes explorées par les mathématiciens de cette époque afin de résoudre la crise des fondements mathématiques provoquée par la complexification des mathématiques et l'apparition des paradoxes,12,982, elle est l'une des pistes explorées par les mathématiciens de cette époque afin de résoudre la crise des fondements mathématiques provoquée par la complexification des mathématiques et l'apparition des paradoxes.
Ses débuts sont marqués par la rencontre entre deux idées nouvelles :,13,1195," Ses débuts sont marqués par la rencontre entre deux idées nouvelles :

"
la volonté chez Frege,14,1267,"    la volonté chez Frege,"
Russell,15,1293," Russell,"
Peano et Hilbert de donner une fondation axiomatique aux mathématiques,16,1302," Peano et Hilbert de donner une fondation axiomatique aux mathématiques ;
"
la découverte par George Boole de l'existence de structures algébriques permettant de définir un « calcul de vérité »,17,1376,"    la découverte par George Boole de l'existence de structures algébriques permettant de définir un « calcul de vérité ».

"
La logique mathématique se fonde sur les premières tentatives de traitement formel des mathématiques,18,1500,"La logique mathématique se fonde sur les premières tentatives de traitement formel des mathématiques,"
dues à Leibniz et Lambert,19,1601, dues à Leibniz et Lambert (
fin XVIIe siècle - début XVIIIe siècle,20,1629,fin XVIIe siècle - début XVIIIe siècle).
Leibniz a en particulier introduit une grande partie de la notation mathématique moderne,21,1669, Leibniz a en particulier introduit une grande partie de la notation mathématique moderne (
usage des quantificateurs,22,1760,"usage des quantificateurs,"
symbole d'intégration,23,1786," symbole d'intégration,"
etc,24,1809, etc.).
Toutefois on ne peut parler de logique mathématique qu'à partir du milieu du XIXe siècle,25,1816," Toutefois on ne peut parler de logique mathématique qu'à partir du milieu du XIXe siècle,"
avec les travaux de George Boole,26,1906, avec les travaux de George Boole (
et dans une moindre mesure ceux d'Auguste De Morgan,27,1941,et dans une moindre mesure ceux d'Auguste De Morgan)
qui introduit un calcul de vérité où les combinaisons logiques comme la conjonction,28,1993," qui introduit un calcul de vérité où les combinaisons logiques comme la conjonction,"
la disjonction et l'implication,29,2078," la disjonction et l'implication,"
sont des opérations analogues à l'addition ou la multiplication des entiers,30,2111," sont des opérations analogues à l'addition ou la multiplication des entiers,"
mais portant sur les valeurs de vérité faux et vrai,31,2188, mais portant sur les valeurs de vérité faux et vrai (
ou 0 et 1,32,2242,ou 0 et 1) ;
ces opérations booléennes se définissent au moyen de tables de vérité,33,2254," ces opérations booléennes se définissent au moyen de tables de vérité.

"
Le calcul de Boole introduisait l'idée,34,2327,"Le calcul de Boole introduisait l'idée,"
apparemment paradoxale mais spectaculairement fructueuse,35,2366," apparemment paradoxale mais spectaculairement fructueuse,"
que le langage mathématique pouvait se définir mathématiquement et devenir un objet d'étude pour les mathématiciens,36,2424, que le langage mathématique pouvait se définir mathématiquement et devenir un objet d'étude pour les mathématiciens.
Cependant,37,2541," Cependant,"
