phrase,id,position,corresponding_text
Era preciso ver,0,0,"Era preciso ver
"
o menino maluquinho,1,16,"o menino maluquinho
"
na casa da vovó!,2,36,"na casa da vovó!
"
Ele deitava,3,53,"Ele deitava
"
e rolava,4,65,"e rolava
"
pintava e bordava,5,74,"pintava e bordava
"
e se empanturrava,6,92,"e se empanturrava
"
de bolo e cocada,7,110,"de bolo e cocada
"
E ria,8,127,"E ria
"
com a boca cheia,9,133,"com a boca cheia
"
e dormia,10,150,"e dormia
"
cansado,11,159,"cansado
"
no colo da vovó,12,167,"no colo da vovó
"
suspirando de,13,183,"suspirando de
"
alegria,14,197,"alegria
"
E a vovó dizia:,15,205,"E a vovó dizia:
"
´Esse meu neto,16,221,"""Esse meu neto
"
é tão maluquinho´,17,236,"é tão maluquinho""
"
O menino maluquinho,18,254,"O menino maluquinho
"
tinha,19,274,"tinha
"
dez namoradas!,20,280,"dez namoradas!
"
Ele era,21,295,"Ele era
"
um namorado,22,303,"um namorado
"
formidável,23,315,"formidável
"
que desenhava,24,326,"que desenhava
"
corações,25,340,"corações
"
nos troncos,26,349,"nos troncos
"
das árvores,27,361,"das árvores
"
e fazia versinhos,28,373,"e fazia versinhos
"
e fazia canções,29,391,"e fazia canções.
"
E se escalavrava,30,408,"E se escalavrava
"
nos paralelepípedos,31,425,"nos paralelepípedos
"
e rasgava os fundilhos,32,445,"e rasgava os fundilhos
"
no arame da cerca,33,468,"no arame da cerca
"
e tinha tanto esparadrapo,34,486,"e tinha tanto esparadrapo
"
nas canelas,35,512,"nas canelas
"
e nos cotovelos,36,524,"e nos cotovelos
"
e tanta bandagem,37,540,"e tanta bandagem
"
na volta das férias,38,557,"na volta das férias
"
que todo ano ganhava,39,577,"que todo ano ganhava
"
dos colegas,40,598,"dos colegas
"
no colégio,41,610,"no colégio
"
o apelido de Múmia,42,621,"o apelido de Múmia
"
E chorava escondido,43,640,"E chorava escondido
"
se tinha tristezas,44,660,"se tinha tristezas
"
O menino maluquinho,45,679,"O menino maluquinho
"
tinha lá os seus segredos,46,699,"tinha lá os seus segredos
"
e nunca ninguém sabia,47,725,"e nunca ninguém sabia
"
os segredos que ele tinha,48,747,"os segredos que ele tinha
("
pois segredo é justo assim,49,774,"pois segredo é justo assim).
"
Tinha uns mais segredáveis,50,803,"Tinha uns mais segredáveis
"
E outros,51,830,"E outros
"
que eram,52,839,"que eram
"
menos,53,848,"menos.
"
O menino maluquinho,54,855,"O menino maluquinho
"
jogava futebol,55,875,"jogava futebol.
"
E toda a turma,56,891,"E toda a turma
"
ficava esperando,57,906,"ficava esperando
"
ele chegar,58,923,"ele chegar
"
pra começar o jogo,59,934,"pra começar o jogo.
"
É que o time,60,954,"É que o time
"
era cheio de craques,61,967,"era cheio de craques
"
e ninguém queria,62,988,"e ninguém queria
"
ficar no gol,63,1005,"ficar no gol.
"
Só o menino maluquinho,64,1019,"Só o menino maluquinho
"
que dizia sempre:,65,1042,"que dizia sempre:
"
´Deixa comigo!´,66,1060,"""Deixa comigo!""
"
E ia rindo pro gol,67,1076,"E ia rindo pro gol
"
para o jogo começar,68,1095,"para o jogo começar.
"
E o menino maluquinho,69,1116,"E o menino maluquinho
"
voava na bola,70,1138,"voava na bola
"
e caía de lado,71,1152,"e caía de lado
"
e caía de frente,72,1167,"e caía de frente
"
e caía de pernas pro ar,73,1184,"e caía de pernas pro ar
"
e caía de bunda no chão,74,1208,"e caía de bunda no chão
"
E a torcida ria,75,1232,"E a torcida ria
"
e gostava de ver,76,1248,"e gostava de ver
"
a alegria daquele goleiro,77,1265,"a alegria daquele goleiro.
"
E todos diziam:,78,1292,"E todos diziam:
"
´Que goleiro maluquinho!´,79,1308,"""Que goleiro maluquinho!""
"
E aí,80,1334,"E aí,"
o tempo passou,81,1339," o tempo passou.
E,"
como todo mundo,82,1358," como todo mundo,
"
o menino maluquinho cresceu,83,1376,"o menino maluquinho cresceu.
"
Cresceu,84,1405,"Cresceu
"
e virou um cara legal!,85,1413,"e virou um cara legal!
"
Aliás,86,1436,"Aliás,
"
virou o cara mais legal,87,1443,"virou o cara mais legal
"
do mundo!,88,1467,"do mundo!
"
Mas,89,1477,"Mas,"
um cara legal,90,1481," um cara legal,"
mesmo!,91,1496," mesmo!
"
E foi aí que,92,1504,"E foi aí que
"
todo mundo descobriu,93,1517,"todo mundo descobriu
"
que ele,94,1538,"que ele
"
não tinha sido,95,1546,"não tinha sido
"
um,96,1561,"um
"
menino,97,1564,"menino
"
maluquinho,98,1571,"maluquinho
"
ele tinha sido era um menino feliz,99,1582,ele tinha sido era um menino feliz
