phrase,id,position,corresponding_text
Chapitre 1,0,0,"Chapitre 1.

"
Lorsque j'avais six ans j'ai vu,1,13,"Lorsque j'avais six ans j'ai vu,"
une fois,2,45," une fois,"
une magnifique image,3,55," une magnifique image,"
dans un livre sur la Forêt Vierge qui s'appelait´Histoires Vécues´,4,77," dans un livre sur la Forêt Vierge qui s'appelait""Histoires Vécues""."
Ça représentait un serpent boa qui avalait un fauve,5,145, Ça représentait un serpent boa qui avalait un fauve.
Voilà la copie du dessin,6,198," Voilà la copie du dessin.

"
{serpent},7,226,"{serpent}

"
On disait dans le livre :´Les serpents boas avalent leur proie tout entière,8,237,"On disait dans le livre :""Les serpents boas avalent leur proie tout entière,"
sans la mâcher,9,313, sans la mâcher.
Ensuite ils ne peuvent plus bouger et ils dorment pendant les six mois de leur digestion,10,329," Ensuite ils ne peuvent plus bouger et ils dorment pendant les six mois de leur digestion.""

"
J'ai alors beaucoup réfléchi sur les aventures de la jungle et,11,422,"J'ai alors beaucoup réfléchi sur les aventures de la jungle et,"
à mon tour,12,485," à mon tour,"
j'ai réussi,13,497," j'ai réussi,"
avec un crayon de couleur,14,510," avec un crayon de couleur,"
à tracer mon premier dessin,15,537, à tracer mon premier dessin.
Mon dessin numéro i,16,566, Mon dessin numéro i.
Il était comme ça:,17,587," Il était comme ça: 

"
{chapeau},18,609,"{chapeau}

"
J'ai montré mon chef-d'oeuvre aux grandes personnes et je leur ai demandé si mon dessin leur faisait peur,19,620,"J'ai montré mon chef-d'oeuvre aux grandes personnes et je leur ai demandé si mon dessin leur faisait peur.
"
Elles m'ont répondu :´Pourquoi un chapeau ferait-il peur ?´,20,727,"Elles m'ont répondu :""Pourquoi un chapeau ferait-il peur ?""

"
Mon dessin ne représentait pas un chapeau,21,788,Mon dessin ne représentait pas un chapeau.
Il représentait un serpent boa qui digérait un éléphant,22,830, Il représentait un serpent boa qui digérait un éléphant.
J'ai alors dessiné l'intérieur du serpent boa,23,887," J'ai alors dessiné l'intérieur du serpent boa,"
afin que les grandes personnes puissent comprendre,24,934, afin que les grandes personnes puissent comprendre.
Elles ont toujours besoin d'explications,25,986, Elles ont toujours besoin d'explications.
Mon dessin numéro 2 était comme ça:,26,1028," Mon dessin numéro 2 était comme ça:

"
Les grandes personnes m'ont conseillé de laisser de côté les dessins de serpents boas ouverts ou fermés,27,1066,"Les grandes personnes m'ont conseillé de laisser de côté les dessins de serpents boas ouverts ou fermés,"
et de m'intéresser plutôt à la géographie,28,1170," et de m'intéresser plutôt à la géographie,"
à l'histoire,29,1213," à l'histoire,"
au calcul et à la grammaire,30,1227, au calcul et à la grammaire.
C'est ainsi que j'ai abandonné,31,1256," C'est ainsi que j'ai abandonné,"
à l'âge de six ans,32,1288," à l'âge de six ans,"
une magnifique carrière de peintre,33,1308, une magnifique carrière de peintre.
J'avais été découragé par l'insuccès de mon dessin numéro i et de mon dessin numéro 2,34,1344, J'avais été découragé par l'insuccès de mon dessin numéro i et de mon dessin numéro 2.
Les grandes personnes ne comprennent jamais rien toutes seules,35,1431," Les grandes personnes ne comprennent jamais rien toutes seules,"
et c'est fatigant,36,1495," et c'est fatigant,"
pour les enfants,37,1514," pour les enfants,"
de toujours et toujours leur donner des explications,38,1532," de toujours et toujours leur donner des explications.

"
J'ai donc dû choisir un autre métier et j'ai appris à piloter des avions,39,1588,J'ai donc dû choisir un autre métier et j'ai appris à piloter des avions.
J'ai volé un peu partout dans le monde,40,1661, J'ai volé un peu partout dans le monde.
Et la géographie,41,1701," Et la géographie,"
c'est exact,42,1719," c'est exact,"
m'a beaucoup servi,43,1732, m'a beaucoup servi.
Je savais reconnaître,44,1752," Je savais reconnaître,"
du premier coup d'oeil la Chine de l'Arizona,45,1775, du premier coup d'oeil la Chine de l'Arizona.
C'est très utile,46,1821," C'est très utile,"
si l'on est égaré pendant la nuit,47,1839," si l'on est égaré pendant la nuit.

"
J'ai ainsi eu,48,1876,"J'ai ainsi eu,"
au cours de ma vie,49,1890," au cours de ma vie,"
des tas de contacts avec des tas de gens sérieux,50,1910, des tas de contacts avec des tas de gens sérieux.
J'ai beaucoup vécu chez les grandes personnes,51,1960, J'ai beaucoup vécu chez les grandes personnes.
Je les ai vues de très près,52,2007, Je les ai vues de très près.
Ça n'a pas trop amélioré mon opinion,53,2036," Ça n'a pas trop amélioré mon opinion.

"
Quand j'en rencontrais une qui me paraissait un peu lucide,54,2076,"Quand j'en rencontrais une qui me paraissait un peu lucide,"
je faisais l'expérience sur elle de mon dessin numéro i que j'ai toujours conservé,55,2135, je faisais l'expérience sur elle de mon dessin numéro i que j'ai toujours conservé.
Je voulais savoir si elle était vraiment compréhensive,56,2219, Je voulais savoir si elle était vraiment compréhensive.
