phrase,id,position,corresponding_text
EL RENACUAJO PASEADOR,0,0,"EL RENACUAJO PASEADOR
"
El hijo de rana,1,22,"El hijo de rana,"
Rinrín renacuajo,2,38," Rinrín renacuajo
"
Salió esta mañana muy tieso y muy majo,3,56,"Salió esta mañana muy tieso y muy majo
"
Con pantalón corto,4,95,"Con pantalón corto,"
corbata a la moda,5,114," corbata a la moda
"
Sombrero encintado y chupa de boda,6,133,"Sombrero encintado y chupa de boda.
"
-¡Muchacho,7,169,"-¡Muchacho,"
no salgas!- le grita mamá,8,180," no salgas!- le grita mamá
"
pero él hace un gesto y orondo se va,9,207,"pero él hace un gesto y orondo se va.
"
Halló en el camino,10,245,"Halló en el camino,"
a un ratón vecino,11,264," a un ratón vecino
"
Y le dijo: -¡amigo!- venga usted conmigo,12,283,"Y le dijo: -¡amigo!- venga usted conmigo,
"
Visitemos juntos a doña ratona,13,325,"Visitemos juntos a doña ratona
"
Y habrá francachela y habrá comilona,14,356,"Y habrá francachela y habrá comilona.
"
A poco llegaron,15,394,"A poco llegaron,"
y avanza ratón,16,410," y avanza ratón,
"
Estírase el cuello,17,427,"Estírase el cuello,"
coge el aldabón,18,446," coge el aldabón,
"
Da dos o tres golpes,19,464,"Da dos o tres golpes,"
preguntan: ¿quién es?,20,485," preguntan: ¿quién es?
"
-Yo doña ratona,21,508,"-Yo doña ratona,"
beso a usted los pies,22,524," beso a usted los pies
"
¿Está usted en casa? -Sí señor sí estoy,23,547,"¿Está usted en casa? -Sí señor sí estoy,
"
y celebro mucho ver a ustedes hoy,24,588,"y celebro mucho ver a ustedes hoy;
"
estaba en mi oficio,25,623,"estaba en mi oficio,"
hilando algodón,26,643," hilando algodón,
"
pero eso no importa,27,661,pero eso no importa;
bienvenidos son,28,681," bienvenidos son.
"
Se hicieron la venia,29,699,"Se hicieron la venia,"
se dieron la mano,30,720," se dieron la mano,
"
Y dice Ratico,31,740,"Y dice Ratico,"
que es más veterano :,32,754," que es más veterano :
"
Mi amigo el de verde rabia de calor,33,777,"Mi amigo el de verde rabia de calor,
"
Démele cerveza,34,814,"Démele cerveza,"
hágame el favor,35,829, hágame el favor.
