phrase,id,position,corresponding_text
The Fall of the House of UsherPart OneiT Was a daRk and soundless day near the end of the year,0,0,"The Fall of the House of UsherPart OneiT Was a daRk and soundless day near the end of the year,"
and clouds were hanging low in the heavens,1,95," and clouds were hanging low in the heavens.
"
All day I had been riding on horseback through country with little life or beauty,2,140, All day I had been riding on horseback through country with little life or beauty;
and in the early evening I came withinview of the House of Usher,3,223," and in the early evening I came withinview of the House of Usher.
"
I do not know how it was— but,4,290,"I do not know how it was— but,"
with my first sight of thebuilding,5,320," with my first sight of thebuilding,"
a sense of heavy sadnessfilled my spirit,6,356," a sense of heavy sadnessfilled my spirit.
"
I looked at thescene before me — at the houseitself — at the ground around it— at the cold stone walls of thebuilding — at its empty eye-likewindows — and at a few dead trees — I looked at this scene,7,399," I looked at thescene before me — at the houseitself — at the ground around it— at the cold stone walls of thebuilding — at its empty eye-likewindows — and at a few dead trees — I looked at this scene,"
I say,8,600," I say,"
with a complete sadness of soul which was no healthy,9,607,"with a complete sadness of soul which was no healthy,"
earthly feeling,10,660," earthly feeling.
"
There was a coldness,11,678,"There was a coldness,"
a sickening of the heart,12,699," a sickening of the heart,"
in which I could dis-cover nothing to lighten the weight I felt,13,725," in which I could dis-cover nothing to lighten the weight I felt.
"
What was it,14,791," What was it,"
I asked myself,15,804," I asked myself,"
what was it that was so fearful,16,820,"what was it that was so fearful,"
so frightening in my view of the Houseof Usher? This was a question to which I could find no answer,17,852," so frightening in my view of the Houseof Usher? This was a question to which I could find no answer.
"
I stopped my horse beside the building,18,954,"I stopped my horse beside the building,"
on the edge of a dark andquiet lake,19,993," on the edge of a dark andquiet lake.
"
There,20,1031," There,"
I could see reflected in the water a clear pictureof the dead trees,21,1038," I could see reflected in the water a clear pictureof the dead trees,"
and of the house and its empty eye-like windows,22,1107," and of the house and its empty eye-like windows.
"
I was now going to spend several weeks in this house of sadness —this house of gloom,23,1157,"I was now going to spend several weeks in this house of sadness —this house of gloom.
"
Its owner was named Roderick Usher,24,1243," Its owner was named Roderick Usher.
"
We hadbeen friends when we were boys,25,1280, We hadbeen friends when we were boys;
but many years had passed since ourlast meeting,26,1318," but many years had passed since ourlast meeting.
"
A letter from him had reached me,27,1368," A letter from him had reached me,"
a wild letter whichdemanded that I reply by coming to see him,28,1402," a wild letter whichdemanded that I reply by coming to see him.
"
He wrote of an illness ofthe body — of a sickness of the mind — and of a desire to see me —his best and indeed his only friend,29,1466," He wrote of an illness ofthe body — of a sickness of the mind — and of a desire to see me —his best and indeed his only friend.
"
It was the manner in which all thiswas said — it was the heart in it — which did not allow me to say no,30,1595," It was the manner in which all thiswas said — it was the heart in it — which did not allow me to say no.
"
Although as boys we had been together,31,1701,"Although as boys we had been together,"
I really knew little aboutmy friend,32,1739," I really knew little aboutmy friend.
"
I knew,33,1777," I knew,"
however,34,1785," however,"
that his family,35,1794," that his family,"
a very old one,36,1811," a very old one,"
had longbeen famous for its understanding of all the arts and for many quietacts of kindness to the poor,37,1827," had longbeen famous for its understanding of all the arts and for many quietacts of kindness to the poor.
"
I had learned too that the family hadnever been a large one,38,1934," I had learned too that the family hadnever been a large one,"
with many branches,39,1995," with many branches.
"
The name had passedalways from father to son,40,2016," The name had passedalways from father to son,"
and when people spoke of the “House ofUsher,41,2062," and when people spoke of the “House ofUsher,"
” they included both the family and the family home,42,2107,"” they included both the family and the family home.
"
I again looked up from the picture of the house reflected in thelake to the house itself,43,2160,"I again looked up from the picture of the house reflected in thelake to the house itself.
"
A strange idea grew in my mind — an idea sostrange that I tell it only to show the force of the feelings which laidtheir weight on me,44,2250," A strange idea grew in my mind — an idea sostrange that I tell it only to show the force of the feelings which laidtheir weight on me.
"
I really believed that around the whole house,45,2386," I really believed that around the whole house,"
and the ground around it,46,2433,"and the ground around it,"
the air itself was different,47,2458," the air itself was different.
"
It was not the airof heaven,48,2489," It was not the airof heaven.
"
It rose from the dead,49,2519," It rose from the dead,"
decaying trees,50,2542," decaying trees,"
from the gray walls,51,2558," from the gray walls,"
and the quiet lake,52,2579,"and the quiet lake.
"
It was a sickly,53,2599," It was a sickly,"
unhealthy air that I could see,54,2616," unhealthy air that I could see,"
slow-moving,55,2648,"slow-moving,"
heavy,56,2660," heavy,"
and gray,57,2667," and gray.
"
Shaking off from my spirit what must have been a dream,58,2678,"Shaking off from my spirit what must have been a dream,"
I lookedmore carefully at the building itself,59,2733," I lookedmore carefully at the building itself.
"
The most noticeable thing aboutit seemed to be its great age,60,2781," The most noticeable thing aboutit seemed to be its great age.
"
None of the walls had fallen,61,2844," None of the walls had fallen,"
yet thestones appeared to be in a condition of advanced decay,62,2874," yet thestones appeared to be in a condition of advanced decay.
"
Perhaps thecareful eye would have discovered the beginning of a break in thefront of the building,63,2938," Perhaps thecareful eye would have discovered the beginning of a break in thefront of the building,"
a crack making its way from the top down thewall until it became lost in the dark waters of the lake,64,3037," a crack making its way from the top down thewall until it became lost in the dark waters of the lake.
"
I rode over a short bridge to the house,65,3140,"I rode over a short bridge to the house.
"
A man who worked in thehouse — a servant — took my horse,66,3181," A man who worked in thehouse — a servant — took my horse,"
and I entered,67,3239," and I entered.
"
Another servant,68,3255," Another servant,"
of quiet step,69,3272,"of quiet step,"
led me without a word through many dark turnings tothe room of his master,70,3286," led me without a word through many dark turnings tothe room of his master.
"
Much that I met on the way added,71,3362," Much that I met on the way added,"
I do notknow how,72,3396," I do notknow how,"
to the strangeness of which I have already spoken,73,3414," to the strangeness of which I have already spoken.
"
Whilethe objects around me — the dark wall coverings,74,3466," Whilethe objects around me — the dark wall coverings,"
the blackness ofthe floors,75,3520," the blackness ofthe floors,"
and the things brought home from long forgotten wars —while these things were like the things I had known since I was a baby— while I admitted that all this was only what I had expected — I wasstill surprised at the strange ideas which grew in my mind from thesesimple things,76,3548," and the things brought home from long forgotten wars —while these things were like the things I had known since I was a baby— while I admitted that all this was only what I had expected — I wasstill surprised at the strange ideas which grew in my mind from thesesimple things.
"
The room I came into was very large and high,77,3826,"The room I came into was very large and high.
"
The windows werehigh,78,3872," The windows werehigh,"
and pointed at the top,79,3894," and pointed at the top,"
and so far above the black floor that theywere quite out of reach,80,3918," and so far above the black floor that theywere quite out of reach.
"
Only a little light,81,3986," Only a little light,"
red in color,82,4007," red in color,"
made its waythrough the glass,83,4021," made its waythrough the glass,"
and served to lighten the nearer and larger objects,84,4052," and served to lighten the nearer and larger objects.
"
My eyes,85,4106,"My eyes,"
however,86,4114," however,"
tried and failed to see into the far,87,4123," tried and failed to see into the far,"
high corners ofthe room,88,4161," high corners ofthe room.
"
Dark coverings hung upon the walls,89,4187," Dark coverings hung upon the walls.
"
The many chairs andtables had been used for a long,90,4224," The many chairs andtables had been used for a long,"
long time,91,4276," long time.
"
Books lay around the room,92,4288," Books lay around the room,"
but could give it no sense of life,93,4315,"but could give it no sense of life.
"
I felt sadness hanging over every-thing,94,4351," I felt sadness hanging over every-thing.
"
No escape from this deep cold gloom seemed possible,95,4393," No escape from this deep cold gloom seemed possible.
"
As I entered the room,96,4447,"As I entered the room,"
Usher stood up from where he had beenlying and met me with a warmth which at first I could not believe wasreal,97,4469," Usher stood up from where he had beenlying and met me with a warmth which at first I could not believe wasreal.
"
A look,98,4582," A look,"
however,99,4590," however,"
at his face told me that every word he spokewas true,100,4599," at his face told me that every word he spokewas true.
"
We sat down,101,4654,We sat down;
and for some moments,102,4666," and for some moments,"
while he said nothing,103,4688," while he said nothing,"
Ilooked at him with a feeling of sad surprise,104,4711," Ilooked at him with a feeling of sad surprise.
"
Surely,105,4759," Surely,"
no man had everbefore changed as Roderick Usher had! Could this be the friend of myearly years? It is true that his face had always been unusual,106,4767," no man had everbefore changed as Roderick Usher had! Could this be the friend of myearly years? It is true that his face had always been unusual.
"
He hadgray-white skin,107,4914, He hadgray-white skin;
eyes large and full of light,108,4937, eyes large and full of light;
lips not bright in color,109,4967," lips not bright in color,"
but of a beautiful shape,110,4993,but of a beautiful shape;
a well-shaped nose,111,5018, a well-shaped nose;
hair of great softness— a face that was not easy to forget,112,5038," hair of great softness— a face that was not easy to forget.
"
And now the increase in thisstrangeness of his face had caused so great a change that I almost didnot know him,113,5099," And now the increase in thisstrangeness of his face had caused so great a change that I almost didnot know him.
"
The horrible white of his skin,114,5212," The horrible white of his skin,"
and the strange lightin his eyes,115,5244," and the strange lightin his eyes,"
surprised me and even made me afraid,116,5278," surprised me and even made me afraid.
"
His hair had beenallowed to grow,117,5317," His hair had beenallowed to grow,"
and in its softness it did not fall around his face butseemed to lie upon the air,118,5351," and in its softness it did not fall around his face butseemed to lie upon the air.
"
I could not,119,5435," I could not,"
even with an effort,120,5448," even with an effort,"
see in myfriend the appearance of a simple human being,121,5469," see in myfriend the appearance of a simple human being.
"
In his manner,122,5526,"In his manner,"
I saw at once,123,5540," I saw at once,"
changes came and went,124,5555, changes came and went;
and Isoon found that this resulted from his attempt to quiet a very greatnervousness,125,5578," and Isoon found that this resulted from his attempt to quiet a very greatnervousness.
"
I had indeed been prepared for something like this,126,5665," I had indeed been prepared for something like this,"
partly by his letter and partly by remembering him as a boy,127,5717,"partly by his letter and partly by remembering him as a boy.
"
His actionswere first too quick and then too quiet,128,5778," His actionswere first too quick and then too quiet.
"
Sometimes his voice,129,5831," Sometimes his voice,"
slowand trembling with fear,130,5852," slowand trembling with fear,"
quickly changed to a strong,131,5881," quickly changed to a strong,"
heavy,132,5910," heavy,"
carefullyspaced,133,5917," carefullyspaced,"
too perfectly controlled manner,134,5934," too perfectly controlled manner.
"
It was in this manner that hespoke of the purpose of my visit,135,5968," It was in this manner that hespoke of the purpose of my visit,"
of his desire to see me,136,6031," of his desire to see me,"
and of thedeep delight and strength he expected me to give him,137,6056," and of thedeep delight and strength he expected me to give him.
"
He told mewhat he believed to be the nature of his illness,138,6121," He told mewhat he believed to be the nature of his illness.
"
It was,139,6182," It was,"
he said,140,6190," he said,"
a familysickness,141,6199," a familysickness,"
and one from which he could not hope to grow better — butit was,142,6217," and one from which he could not hope to grow better — butit was,"
he added at once,143,6282," he added at once,"
only a nervous illness which would withoutdoubt soon pass away,144,6300," only a nervous illness which would withoutdoubt soon pass away.
"
It showed itself in a number of strange feelings,145,6365," It showed itself in a number of strange feelings.
"
Some of these,146,6416,"Some of these,"
as he told me of them,147,6430," as he told me of them,"
interested me but were beyondmy understanding,148,6453, interested me but were beyondmy understanding;
perhaps the way in which he told me of themadded to their strangeness,149,6500," perhaps the way in which he told me of themadded to their strangeness.
"
He suffered much from a sickly increase inthe feeling of all the senses,150,6572, He suffered much from a sickly increase inthe feeling of all the senses;
he could eat only the most tasteless food,151,6645, he could eat only the most tasteless food;
all flowers smelled too strongly for his nose,152,6688,all flowers smelled too strongly for his nose;
his eyes were hurt by evena little light,153,6734, his eyes were hurt by evena little light;
and there were few sounds which did not fill him withhorror,154,6776," and there were few sounds which did not fill him withhorror.
"
A certain kind of sick fear was completely his master,155,6838," A certain kind of sick fear was completely his master.
"
“I shall die,156,6894,"“I shall die,"
” he said,157,6907,"” he said.
"
“I shall die! I must die of this fool’s sickness,158,6918," “I shall die! I must die of this fool’s sickness.
"
In this way,159,6969,"In this way,"
this way and no other way,160,6981," this way and no other way,"
I shall be lost,161,7008," I shall be lost.
"
I fear what willhappen in the future,162,7026," I fear what willhappen in the future,"
not for what happens,163,7064," not for what happens,"
but for the result of whathappens,164,7086," but for the result of whathappens.
"
I have,165,7122," I have,"
indeed,166,7130," indeed,"
no fear of pain,167,7138," no fear of pain,"
but only fear of its result —of terror! I feel that the time will soon arrive when I must lose mylife,168,7155," but only fear of its result —of terror! I feel that the time will soon arrive when I must lose mylife,"
and my mind,169,7258," and my mind,"
and my soul,170,7271," and my soul,"
together,171,7284," together,"
in some last battle with thathorrible enemy: feaR!”Part TwoR odeRick usheR,172,7294," in some last battle with thathorrible enemy: feaR!”Part TwoR odeRick usheR,"
Whom i hadknown as a boy,173,7370," Whom i hadknown as a boy,"
was now illand had asked me to come tohelp him,174,7396," was now illand had asked me to come tohelp him.
"
When I arrived I feltsomething strange and fearfulabout the great old stone house,175,7445," When I arrived I feltsomething strange and fearfulabout the great old stone house,"
about the lake in front of it,176,7528,"about the lake in front of it,"
andabout Usher himself,177,7558," andabout Usher himself.
"
He appearednot like a human being,178,7583," He appearednot like a human being,"
but likea spirit that had come back frombeyond the grave,179,7618," but likea spirit that had come back frombeyond the grave.
"
It was anillness,180,7677," It was anillness,"
he said,181,7695," he said,"
from which hewould surely die,182,7704," from which hewould surely die.
"
He called hissickness fear,183,7736," He called hissickness fear.
"
“I have,184,7765," “I have,"
” he said,185,7774,"” he said,"
“no fear of pain,186,7784,"“no fear of pain,"
but only the fearof its result — of terror,187,7801," but only the fearof its result — of terror.
"
I feelthat the time will soon arrive when I must lose my life,188,7846," I feelthat the time will soon arrive when I must lose my life,"
and my mind,189,7909," and my mind,"
and my soul,190,7922,"and my soul,"
together,191,7934," together,"
in some last battle with that horrible enemy:feaR!”I learned also,192,7944," in some last battle with that horrible enemy:feaR!”I learned also,"
but slowly,193,8011," but slowly,"
and through broken words with doubt-ful meaning,194,8023," and through broken words with doubt-ful meaning,"
another strange fact about the condition of Usher’s mind,195,8072," another strange fact about the condition of Usher’s mind.
"
He had certain sick fears about the house in which he lived,196,8131,"He had certain sick fears about the house in which he lived,"
and hehad not stepped out of it for many years,197,8191," and hehad not stepped out of it for many years.
"
He felt that the house,198,8240," He felt that the house,"
withits gray walls and the quiet lake around it,199,8264," withits gray walls and the quiet lake around it,"
had somehow through thelong years gotten a strong hold on his spirit,200,8313," had somehow through thelong years gotten a strong hold on his spirit.
"
He said,201,8384,"He said,"
however,202,8392," however,"
that much of the gloom which lay so heavily onhim was probably caused by something more plainly to be seen — bythe long-continued illness — indeed,203,8401," that much of the gloom which lay so heavily onhim was probably caused by something more plainly to be seen — bythe long-continued illness — indeed,"
the coming death — of a dearlyloved sister — his only company for many years,204,8549," the coming death — of a dearlyloved sister — his only company for many years.
"
Except for himself,205,8628," Except for himself,"
she was the last member of his family on earth,206,8648,"she was the last member of his family on earth.
"
“When she dies,207,8696," “When she dies,"
” hesaid,208,8712,"” hesaid,"
with a sadness which I can never forget,209,8721," with a sadness which I can never forget,"
“when she dies,210,8762," “when she dies,"
I will bethe last of the old,211,8778," I will bethe last of the old,"
old family — the House of Usher,212,8808," old family — the House of Usher.
"
”While he spoke,213,8842,"”While he spoke,"
the lady Madeline,214,8858, the lady Madeline (
for so she was called,215,8878,for so she was called)
passedslowly through a distant part of the room,216,8900," passedslowly through a distant part of the room,"
and without seeing that Iwas there,217,8949," and without seeing that Iwas there,"
went on,218,8985," went on.
"
I looked at her with a complete and wonderingsurprise and with some fear — and yet I found I could not explain tomyself such feelings,219,8995," I looked at her with a complete and wonderingsurprise and with some fear — and yet I found I could not explain tomyself such feelings.
"
My eyes followed her,220,9131," My eyes followed her.
"
When she came to a doorand it closed behind her,221,9154," When she came to a doorand it closed behind her,"
my eyes turned to the face of her brother— but he had put his face in his hands,222,9203," my eyes turned to the face of her brother— but he had put his face in his hands,"
and I could see only that thethin fingers through which his tears were flowing were whiter thanever before,223,9284," and I could see only that thethin fingers through which his tears were flowing were whiter thanever before.
"
The illness of the lady Madeline had long been beyond the helpof her doctors,224,9393,"The illness of the lady Madeline had long been beyond the helpof her doctors.
"
She seemed to care about nothing,225,9471," She seemed to care about nothing.
"
Slowly her body hadgrown thin and weak,226,9506," Slowly her body hadgrown thin and weak,"
and often for a short period she would fall intoa sleep like the sleep of the dead,227,9546," and often for a short period she would fall intoa sleep like the sleep of the dead.
"
So far she had not been forced tostay in bed,228,9631, So far she had not been forced tostay in bed;
but by the evening of the day I arrived at the house,229,9677," but by the evening of the day I arrived at the house,"
thepower of her destroyer,230,9731, thepower of her destroyer (
as her brother told me that night,231,9759,as her brother told me that night)
was toostrong for her,232,9793," was toostrong for her.
"
I learned that my one sight of her would probably bethe last I would have — that the lady,233,9817," I learned that my one sight of her would probably bethe last I would have — that the lady,"
at least while living,234,9908," at least while living,"
would beseen by me no more,235,9931," would beseen by me no more.
"
For several days following,236,9960,"For several days following,"
her name was not spoken by eitherUsher or myself,237,9987, her name was not spoken by eitherUsher or myself;
and during this period I was busy with efforts to liftmy friend out of his sadness and gloom,238,10037," and during this period I was busy with efforts to liftmy friend out of his sadness and gloom.
"
We painted and read together,239,10132, We painted and read together;
or listened,240,10162,"or listened,"
as if in a dream,241,10174," as if in a dream,"
to the wild music he played,242,10192," to the wild music he played.
"
And so,243,10222," And so,"
as awarmer and more loving friendship grew between us,244,10230," as awarmer and more loving friendship grew between us,"
I saw more clear-ly the uselessness of all attempts to bring happiness to a mind fromwhich only darkness came,245,10285," I saw more clear-ly the uselessness of all attempts to bring happiness to a mind fromwhich only darkness came,"
spreading upon all objects in the world itsnever-ending gloom,246,10396," spreading upon all objects in the world itsnever-ending gloom.
"
I shall always remember the hours I spent with the master of theHouse of Usher,247,10460,"I shall always remember the hours I spent with the master of theHouse of Usher.
"
Yet I would fail in any attempt to give an idea of thetrue character of the things we did together,248,10540," Yet I would fail in any attempt to give an idea of thetrue character of the things we did together.
"
There was a strange lightover everything,249,10641," There was a strange lightover everything.
"
The paintings which he made made me tremble,250,10684," The paintings which he made made me tremble,"
though I know not why,251,10729,"though I know not why.
"
To tell of them is beyond the power of writtenwords,252,10752," To tell of them is beyond the power of writtenwords.
"
If ever a man painted an idea,253,10806," If ever a man painted an idea,"
that man was Roderick Usher,254,10837," that man was Roderick Usher.
"
For me at least there came out of his pictures a sense of fear andwonder,255,10867,"For me at least there came out of his pictures a sense of fear andwonder.
"
One of these pictures may be told,256,10941,"One of these pictures may be told,"
although weakly,257,10975," although weakly,"
in words,258,10992," in words.
"
It showed the inside of a room where the dead might be placed,259,11003,"It showed the inside of a room where the dead might be placed,"
withlow walls,260,11065," withlow walls,"
white and plain,261,11080," white and plain.
"
It seemed to be very deep under the earth,262,11098," It seemed to be very deep under the earth.
"
There was no door,263,11142,"There was no door,"
no window,264,11160, no window;
and no light or fire burned,265,11171, and no light or fire burned;
yet a riverof light flowed through it,266,11200," yet a riverof light flowed through it,"
filling it with a horrible,267,11239," filling it with a horrible,"
ghastly brightness,268,11267," ghastly brightness.
"
I have spoken of that sickly condition of the senses,269,11288,"I have spoken of that sickly condition of the senses,"
which mademost music painful for Usher to hear,270,11341," which mademost music painful for Usher to hear.
"
The notes he could listen towith pleasure were very few,271,11390," The notes he could listen towith pleasure were very few.
"
It was this fact,272,11448," It was this fact,"
perhaps,273,11466," perhaps,"
that made themusic he played so different from most music,274,11475," that made themusic he played so different from most music.
"
But the wild beauty ofhis playing could not be explained,275,11535," But the wild beauty ofhis playing could not be explained.
"
The words of one of his songs,276,11594,"The words of one of his songs,"
called “The Haunted Palace,277,11624," called “The Haunted Palace,"
” Ihave easily remembered,278,11652,"” Ihave easily remembered.
"
In it I thought I saw,279,11679," In it I thought I saw,"
and for the first time,280,11702," and for the first time,"
that Usher knew very well that his mind was weakening,281,11726,"that Usher knew very well that his mind was weakening.
"
This songtold of a great house where a king lived — a palace — in a greenvalley,282,11781," This songtold of a great house where a king lived — a palace — in a greenvalley,"
where all was light and color and beauty,283,11862," where all was light and color and beauty,"
and the air was sweet,284,11904," and the air was sweet.
"
In the palace were two bright windows through which people in thathappy valley could hear music and could see smiling ghosts — spirits— moving around the king,285,11928,"In the palace were two bright windows through which people in thathappy valley could hear music and could see smiling ghosts — spirits— moving around the king.
"
The palace door was of the richest mate-rials,286,12088," The palace door was of the richest mate-rials,"
in red and white,287,12135, in red and white;
through it came other spirits whose only dutywas to sing in their beautiful voices about how wise their king was,288,12153," through it came other spirits whose only dutywas to sing in their beautiful voices about how wise their king was.
"
But a dark change came,289,12268,"But a dark change came,"
the song continued,290,12291," the song continued,"
and now those whoenter the valley see through the windows,291,12311," and now those whoenter the valley see through the windows,"
in a red light,292,12370," in a red light,"
shapes thatmove to broken music,293,12386, shapes thatmove to broken music;
while through the door,294,12419," while through the door,"
now colorless,295,12443," now colorless,"
a ghast-ly river of ghosts,296,12458," a ghast-ly river of ghosts,"
