phrase,id,position,corresponding_text
The Fall of the House of Usher,0,0,"The Fall of the House of Usher

"
Part One,1,32,"Part One


"
It Was a dark and soundless day near the end of the year,2,43,"It Was a dark and soundless day near the end of the year,"
and clouds were hanging low in the heavens,3,100," and clouds were hanging low in the heavens.
"
All day I had been riding on horseback through country with little life or beauty,4,145, All day I had been riding on horseback through country with little life or beauty;
and in the early evening I came withinview of the House of Usher,5,228," and in the early evening I came withinview of the House of Usher.
"
I do not know how it was— but,6,295,"I do not know how it was— but,"
with my first sight of thebuilding,7,325," with my first sight of thebuilding,"
a sense of heavy sadnessfilled my spirit,8,361," a sense of heavy sadnessfilled my spirit.
"
I looked at thescene before me — at the houseitself — at the ground around it— at the cold stone walls of thebuilding — at its empty eye-likewindows — and at a few dead trees — I looked at this scene,9,404," I looked at thescene before me — at the houseitself — at the ground around it— at the cold stone walls of thebuilding — at its empty eye-likewindows — and at a few dead trees — I looked at this scene,"
I say,10,605," I say,"
with a complete sadness of soul which was no healthy,11,612,"with a complete sadness of soul which was no healthy,"
earthly feeling,12,665," earthly feeling.
"
There was a coldness,13,683,"There was a coldness,"
a sickening of the heart,14,704," a sickening of the heart,"
in which I could dis-cover nothing to lighten the weight I felt,15,730," in which I could dis-cover nothing to lighten the weight I felt.
"
What was it,16,796," What was it,"
I asked myself,17,809," I asked myself,"
what was it that was so fearful,18,825,"what was it that was so fearful,"
so frightening in my view of the Houseof Usher? This was a question to which I could find no answer,19,857," so frightening in my view of the Houseof Usher? This was a question to which I could find no answer.
"
I stopped my horse beside the building,20,959,"I stopped my horse beside the building,"
on the edge of a dark andquiet lake,21,998," on the edge of a dark andquiet lake.
"
There,22,1036," There,"
I could see reflected in the water a clear pictureof the dead trees,23,1043," I could see reflected in the water a clear pictureof the dead trees,"
and of the house and its empty eye-like windows,24,1112," and of the house and its empty eye-like windows.
"
I was now going to spend several weeks in this house of sadness —this house of gloom,25,1162,"I was now going to spend several weeks in this house of sadness —this house of gloom.
"
Its owner was named Roderick Usher,26,1248," Its owner was named Roderick Usher.
"
We hadbeen friends when we were boys,27,1285, We hadbeen friends when we were boys;
but many years had passed since ourlast meeting,28,1323," but many years had passed since ourlast meeting.
"
A letter from him had reached me,29,1373," A letter from him had reached me,"
a wild letter whichdemanded that I reply by coming to see him,30,1407," a wild letter whichdemanded that I reply by coming to see him.
"
He wrote of an illness ofthe body — of a sickness of the mind — and of a desire to see me —his best and indeed his only friend,31,1471," He wrote of an illness ofthe body — of a sickness of the mind — and of a desire to see me —his best and indeed his only friend.
"
It was the manner in which all thiswas said — it was the heart in it — which did not allow me to say no,32,1600," It was the manner in which all thiswas said — it was the heart in it — which did not allow me to say no.
"
Although as boys we had been together,33,1706,"Although as boys we had been together,"
I really knew little aboutmy friend,34,1744," I really knew little aboutmy friend.
"
I knew,35,1782," I knew,"
however,36,1790," however,"
that his family,37,1799," that his family,"
a very old one,38,1816," a very old one,"
had longbeen famous for its understanding of all the arts and for many quietacts of kindness to the poor,39,1832," had longbeen famous for its understanding of all the arts and for many quietacts of kindness to the poor.
"
I had learned too that the family hadnever been a large one,40,1939," I had learned too that the family hadnever been a large one,"
with many branches,41,2000," with many branches.
"
