phrase,id,position,corresponding_text
EXAMPLE 1The article introduces the topic of deforestation,0,0,"EXAMPLE 1The article introduces the topic of deforestation,"
which is the clearing and cutting down of trees in a large area,1,59," which is the clearing and cutting down of trees in a large area.
"
The writer says there are many benefits to deforestation,2,125," The writer says there are many benefits to deforestation.
"
The lecturer disagrees,3,184," The lecturer disagrees.
"
He says that deforestation has many consequences,4,209," He says that deforestation has many consequences,"
and attacks each of the claims made in the reading,5,259," and attacks each of the claims made in the reading.
"
First,6,312,"First,"
the author says that cutting down trees creates farmlands now suitable for growing crops and raising livestock,7,318," the author says that cutting down trees creates farmlands now suitable for growing crops and raising livestock.
"
The reading passage states that this provides more food for people and can benefit the economy,8,431," The reading passage states that this provides more food for people and can benefit the economy.
"
The professor believes there are flaws in the author’s position,9,528," The professor believes there are flaws in the author’s position.
"
He contends that it is not necessary to destroy rainforests for land to farm,10,594," He contends that it is not necessary to destroy rainforests for land to farm.
"
He goes on to say that there are advanced technologies that allow for alternative ways to farm without soil,11,673," He goes on to say that there are advanced technologies that allow for alternative ways to farm without soil.
"
According to the writer,12,783,"According to the writer,"
clearing the areas also provides residential space for people to live and work in,13,807, clearing the areas also provides residential space for people to live and work in;
a concern as the population continues to increase,14,890," a concern as the population continues to increase.
"
The speaker,15,942," The speaker,"
on the other hand,16,955," on the other hand,"
points out that deforestation displaces the animals from the forest and destroys the plants which provide us with oxygen,17,974," points out that deforestation displaces the animals from the forest and destroys the plants which provide us with oxygen.
"
He feels that this long-term cost is not worth the money people can make from residential developments on the land,18,1097," He feels that this long-term cost is not worth the money people can make from residential developments on the land.
"
Also,19,1214,"Also,"
the reading passage notes how cutting down trees is necessary for creating lumber,20,1219," the reading passage notes how cutting down trees is necessary for creating lumber,"
paper and furniture,21,1302," paper and furniture,"
and that it is,22,1323," and that it is,"
therefore,23,1339," therefore,"
an important source of income for many people,24,1350," an important source of income for many people.
"
The professor rebuts this argument,25,1398," The professor rebuts this argument.
"
He says that those who work in the wood cutting industry are actually paid very small wages,26,1435," He says that those who work in the wood cutting industry are actually paid very small wages.
"
In fact,27,1529," In fact,"
he claims deforestation does not benefit the workers at all,28,1538," he claims deforestation does not benefit the workers at all,"
but rather the large company owners,29,1599," but rather the large company owners.
"
As you can see,30,1637,"As you can see,"
the author and lecturer hold very different views on deforestation,31,1652," the author and lecturer hold very different views on deforestation.
"
EXAMPLE 2The article introduces the topic of alternative energy sources,32,1721,"EXAMPLE 2The article introduces the topic of alternative energy sources.
"
More specifically,33,1794," More specifically,"
the writer discusses the advantages of wave farms,34,1813," the writer discusses the advantages of wave farms,"
and how they are superior to all other options,35,1864," and how they are superior to all other options.
"
The lecturer in the listening passage disagrees,36,1913," The lecturer in the listening passage disagrees.
"
He believes that each energy source has certain drawbacks and attacks each of the claims made in the reading,37,1963," He believes that each energy source has certain drawbacks and attacks each of the claims made in the reading.
"
In the reading,38,2074," In the reading,"
the author begins by stating that wave farms do not negatively impact the environment in any way,39,2090," the author begins by stating that wave farms do not negatively impact the environment in any way,"
unlike the burning of fossil fuels which damages the ozone layer,40,2188," unlike the burning of fossil fuels which damages the ozone layer.
"
The lecturer,41,2255," The lecturer,"
however,42,2269," however,"
disagrees with this viewpoint,43,2278," disagrees with this viewpoint.
"
He states that wave farms also emit carbon dioxide into the atmosphere in order to operate,44,2310," He states that wave farms also emit carbon dioxide into the atmosphere in order to operate.
"
He goes on to say that dangerous chemicals are released into the ocean during the construction of wave farms,45,2403," He goes on to say that dangerous chemicals are released into the ocean during the construction of wave farms.
"
The author also claims that what makes wave farms stand apart from other alternative energy sources,46,2514,"The author also claims that what makes wave farms stand apart from other alternative energy sources,"
such as solar,47,2614," such as solar,"
is the predictability of waves and how they can provide a reliable amount of energy,48,2629," is the predictability of waves and how they can provide a reliable amount of energy.
"
Again,49,2715," Again,"
the lecturer believes there are flaws in the writer's argument,50,2722," the lecturer believes there are flaws in the writer's argument.
"
The speaker holds that wave energy is just as unstable as solar due to technical issues at the farms,51,2787," The speaker holds that wave energy is just as unstable as solar due to technical issues at the farms.
"
Furthermore,52,2890," Furthermore,"
harsh conditions can disrupt the process of the generators,53,2903," harsh conditions can disrupt the process of the generators.
"
Another reason why the author feels that wave farms are better is that they are environmentally friendly,54,2964," Another reason why the author feels that wave farms are better is that they are environmentally friendly,"
not hurting animals as wind turbines often do,55,3070," not hurting animals as wind turbines often do.
"
The professor in the listening passage is doubtful that this is accurate,56,3118," The professor in the listening passage is doubtful that this is accurate.
"
He suggests that certain devices in the wave farm produce a loud sound which disturbs nearby birds and other marine life,57,3193," He suggests that certain devices in the wave farm produce a loud sound which disturbs nearby birds and other marine life.
"
Moreover,58,3316," Moreover,"
animals could become trapped or caught up in parts of the machines,59,3326," animals could become trapped or caught up in parts of the machines.
"
To sum up,60,3395,"To sum up,"
both the writer and professor hold conflicting views about the be,61,3405," both the writer and professor hold conflicting views about the be.
"
EXAMPLE 3First of all,62,3473,"EXAMPLE 3First of all,"
the author notes that nowadays we are more likely to find goods and services that perfectly meet our needs because there are many options in the marketplace,63,3495," the author notes that nowadays we are more likely to find goods and services that perfectly meet our needs because there are many options in the marketplace.
"
This makes our lives easier and it means that we are not likely to regret our choices in life,64,3654,"  This makes our lives easier and it means that we are not likely to regret our choices in life.
"
In contrast,65,3751,"  In contrast,"
the professor says that it can be extremely tiring to evaluate all of the options that are available,66,3765," the professor says that it can be extremely tiring to evaluate all of the options that are available.
"
He says that this can lead to a problem called “decision fatigue,67,3868,"  He says that this can lead to a problem called “decision fatigue,"
” which refers to how it is harder to make good decisions as the day goes on,68,3935,"” which refers to how it is harder to make good decisions as the day goes on.
"
Next,69,4013,"Next,"
the article suggests that the availability of many choices leads to innovation in society,70,4018," the article suggests that the availability of many choices leads to innovation in society.
"
Our tendency to always seek out newer and better options forces companies to produce better goods,71,4110,"  Our tendency to always seek out newer and better options forces companies to produce better goods.
"
The professor also challenges this point,72,4211,"  The professor also challenges this point.
"
He argues that in reality this just causes the marketplace to fill up with mediocre products,73,4255,"  He argues that in reality this just causes the marketplace to fill up with mediocre products.
"
Eventually,74,4351,"  Eventually,"
this may hinder the overall progress of society,75,4364," this may hinder the overall progress of society.
"
Finally,76,4414,"Finally,"
it is noted in the article that having many choices  increases our individual growth and development,77,4422," it is noted in the article that having many choices  increases our individual growth and development.
"
This is because we reflect on ourselves and our values when we consider what products to choose,78,4525,"  This is because we reflect on ourselves and our values when we consider what products to choose.
"
The professor challenges this argument by saying that this actually causes us to become complacent and lazy,79,4624,"  The professor challenges this argument by saying that this actually causes us to become complacent and lazy.
"
In fact,80,4735,"  In fact,"
we may not seek out more options if we feel that everything we need is already available to us,81,4745," we may not seek out more options if we feel that everything we need is already available to us.
"
As a result,82,4842,"  As a result,"
we achieve less success in our personal and professional lives,83,4856," we achieve less success in our personal and professional lives.
"
EXAMPLE 4The article and the lecture are both about olive trees and the bacteria that often infect them,84,4921,"EXAMPLE 4The article and the lecture are both about olive trees and the bacteria that often infect them.
"
Specifically,85,5026," Specifically,"
the author discusses methods to combat the bacteria and prevent infection,86,5040," the author discusses methods to combat the bacteria and prevent infection,"
while the lecturer disagrees with most of these points and questions the effectiveness of the proposed solutions,87,5115," while the lecturer disagrees with most of these points and questions the effectiveness of the proposed solutions.
"
First,88,5230,"First,"
the reading suggests that farmers should inspect olive trees regularly to detect signs of early infection and prevent the spread of the disease,89,5236," the reading suggests that farmers should inspect olive trees regularly to detect signs of early infection and prevent the spread of the disease.
"
The lecturer,90,5382," The lecturer,"
however,91,5396," however,"
challenges this idea,92,5405," challenges this idea.
"
He argues that early detection is extremely difficult given the large number of trees,93,5428," He argues that early detection is extremely difficult given the large number of trees.
"
While it may be somewhat helpful,94,5516," While it may be somewhat helpful,"
he emphasizes that inspections are not effective on a larger scale,95,5550," he emphasizes that inspections are not effective on a larger scale.
"
Second,96,5619,"Second,"
the author recommends promoting the health of olive trees as a strategy to prevent bacterial infection,97,5626," the author recommends promoting the health of olive trees as a strategy to prevent bacterial infection.
"
